combination_id,combination_label,recording,frames_evaluated,gt_dets,tracker_dets,gt_ids,tracker_ids,HOTA,DetA,AssA,LocA,HOTA_0,MOTA,MOTP,IDSW,IDF1,IDP,IDR,MT,PT,ML,Frag,CLR_TP,CLR_FP,CLR_FN,IDTP,IDFP,IDFN,tracker_only_fps,cached_pipeline_fps,tracking_output_dir
S2,FT YOLO + G SECOND,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,249,198,155,1,5,0.234792,0.392741,0.140628,0.705695,0.456138,0.156566,0.643668,4,0.243626,0.277419,0.217172,0,1,0,15,95,60,103,43,112,155,1646.137601,1412.627925,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S2/footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label
S2,FT YOLO + G SECOND,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,184,184,127,1,4,0.18814,0.332229,0.10761,0.671557,0.375472,-0.076087,0.62421,3,0.14791,0.181102,0.125,0,1,0,15,58,69,126,23,104,161,1531.60864,1362.970748,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S2/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label
S2,FT YOLO + G SECOND,in_straw_3pick_diff_st_10_24_2024_5_a_label,122,200,36,2,3,0.072689,0.060121,0.087905,0.704973,0.183811,-0.17,0.545326,0,0.008475,0.027778,0.005,0,0,2,0,1,35,199,1,35,199,3041.596374,986.447066,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S2/in_straw_3pick_diff_st_10_24_2024_5_a_label
S2,FT YOLO + G SECOND,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,303,482,279,3,15,0.131785,0.232075,0.076509,0.69204,0.2309,0.064315,0.628184,16,0.170828,0.232975,0.134855,0,3,0,23,163,116,319,65,214,417,3460.328103,1595.12345,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S2/out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label
S2,FT YOLO + G SECOND,out_vine_1push_3carry_st_ly_11_06_2024_1_label,131,417,138,4,6,0.148342,0.122991,0.181624,0.68318,0.275215,-0.01199,0.61098,1,0.230631,0.463768,0.153477,0,2,2,7,67,71,350,64,74,353,1258.478228,652.491292,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S2/out_vine_1push_3carry_st_ly_11_06_2024_1_label
S2,FT YOLO + G SECOND,out_vine_4swap+walk_st_ly_11_06_2024_2_label,273,969,535,4,16,0.157986,0.243682,0.105615,0.672719,0.311969,-0.086687,0.627161,19,0.161226,0.226168,0.125259,0,2,2,45,235,300,734,121,414,845,1272.63413,790.863582,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S2/out_vine_4swap+walk_st_ly_11_06_2024_2_label
S3,G YOLO + FT SECOND,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,249,198,175,1,5,0.267891,0.41209,0.174622,0.703308,0.518883,0.186869,0.645993,4,0.284182,0.302857,0.267677,0,1,0,13,108,67,90,53,122,145,4291.407011,1751.32414,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S3/footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label
S3,G YOLO + FT SECOND,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,184,184,160,1,5,0.239673,0.46604,0.124548,0.70414,0.428565,0.326087,0.643155,4,0.197674,0.2125,0.184783,0,1,0,21,112,48,72,34,126,150,2325.398877,1075.900154,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S3/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label
S3,G YOLO + FT SECOND,in_straw_3pick_diff_st_10_24_2024_5_a_label,122,200,199,2,5,0.397023,0.429868,0.37461,0.699631,0.696463,0.305,0.620224,2,0.536341,0.537688,0.535,0,2,0,14,131,68,69,107,92,93,909.096762,821.681026,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S3/in_straw_3pick_diff_st_10_24_2024_5_a_label
S3,G YOLO + FT SECOND,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,303,482,375,3,20,0.178871,0.328123,0.099082,0.716673,0.29605,0.116183,0.674881,17,0.214702,0.245333,0.190871,0,3,0,29,224,151,258,92,283,390,1758.406977,1448.142166,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S3/out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label
S3,G YOLO + FT SECOND,out_vine_1push_3carry_st_ly_11_06_2024_1_label,131,417,203,4,11,0.211763,0.258474,0.177723,0.702749,0.365353,0.17506,0.654552,4,0.283871,0.433498,0.211031,0,4,0,9,140,63,277,88,115,329,1719.791777,814.878679,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S3/out_vine_1push_3carry_st_ly_11_06_2024_1_label
S3,G YOLO + FT SECOND,out_vine_4swap+walk_st_ly_11_06_2024_2_label,273,969,594,4,25,0.200032,0.305661,0.13386,0.703956,0.359504,0.076367,0.664841,22,0.207692,0.272727,0.167702,0,4,0,46,345,249,624,162,432,804,2047.010135,1084.594432,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S3/out_vine_4swap+walk_st_ly_11_06_2024_2_label
S4,FT YOLO + FT SECOND,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,249,198,176,1,6,0.249834,0.415052,0.150841,0.704058,0.480252,0.176768,0.649372,5,0.256684,0.272727,0.242424,0,1,0,13,108,68,90,48,128,150,4230.587472,1758.894748,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S4/footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label
S4,FT YOLO + FT SECOND,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,184,184,160,1,5,0.239148,0.472035,0.122558,0.704102,0.42579,0.347826,0.641412,4,0.197674,0.2125,0.184783,0,1,0,21,114,46,70,34,126,150,2694.548368,1159.047802,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S4/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label
S4,FT YOLO + FT SECOND,in_straw_3pick_diff_st_10_24_2024_5_a_label,122,200,201,2,5,0.40232,0.433808,0.381131,0.699583,0.707113,0.315,0.62055,2,0.543641,0.542289,0.545,0,2,0,13,133,68,67,109,92,91,978.430115,879.990533,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S4/in_straw_3pick_diff_st_10_24_2024_5_a_label
S4,FT YOLO + FT SECOND,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,303,482,399,3,20,0.192028,0.340654,0.109774,0.712809,0.326172,0.099585,0.671178,19,0.229285,0.253133,0.209544,0,3,0,29,233,166,249,101,298,381,1761.248511,1443.421582,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S4/out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label
S4,FT YOLO + FT SECOND,out_vine_1push_3carry_st_ly_11_06_2024_1_label,131,417,252,4,11,0.262639,0.31702,0.220894,0.699894,0.46755,0.235012,0.647437,4,0.370703,0.492063,0.297362,0,4,0,10,177,75,240,124,128,293,1444.329361,670.020136,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S4/out_vine_1push_3carry_st_ly_11_06_2024_1_label
S4,FT YOLO + FT SECOND,out_vine_4swap+walk_st_ly_11_06_2024_2_label,273,969,626,4,26,0.204418,0.317685,0.134545,0.702402,0.373317,0.079463,0.66251,25,0.207286,0.263578,0.170807,0,4,0,48,364,262,605,165,461,801,2869.310052,1115.021191,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/S4/out_vine_4swap+walk_st_ly_11_06_2024_2_label
