combination_id,combination_label,recording,frames_evaluated,gt_dets,tracker_dets,gt_ids,tracker_ids,HOTA,DetA,AssA,LocA,HOTA_0,MOTA,MOTP,IDSW,IDF1,IDP,IDR,MT,PT,ML,Frag,CLR_TP,CLR_FP,CLR_FN,IDTP,IDFP,IDFN,tracker_only_fps,cached_pipeline_fps,tracking_output_dir
S1,G YOLO + G SECOND,COMBINED,1262,2450,1158,15,47,0.152423,0.212876,0.110702,0.685114,0.284363,0.006531,0.629139,40,0.166436,0.259067,0.122599,0,8,7,101,607,551,1843,300,858,2147,2007.434332,1178.546645,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy
S2,FT YOLO + G SECOND,COMBINED,1262,2450,1270,15,49,0.157559,0.224353,0.112663,0.679196,0.301813,-0.030612,0.627804,43,0.170568,0.249606,0.129546,0,9,6,105,619,651,1831,317,953,2130,2078.881292,1194.597492,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy
S3,G YOLO + FT SECOND,COMBINED,1262,2450,1706,15,71,0.231709,0.333489,0.163124,0.703706,0.409104,0.147347,0.655878,53,0.258127,0.314185,0.219044,0,15,0,132,1060,646,1390,536,1170,1911,2317.169055,1248.748722,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy
S4,FT YOLO + FT SECOND,COMBINED,1262,2450,1814,15,73,0.242453,0.351107,0.169681,0.702037,0.43264,0.157143,0.653606,59,0.272706,0.320287,0.237434,0,15,0,134,1129,685,1321,581,1233,1866,2515.664615,1258.414101,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy
P1,G YOLO + G PointPillars,COMBINED,1262,2450,953,15,50,0.109847,0.151529,0.082421,0.658828,0.221158,-0.106122,0.62068,37,0.127059,0.226653,0.088271,0,6,9,68,365,588,2085,216,737,2231,1701.524053,1118.715694,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy
P2,FT YOLO + G PointPillars,COMBINED,1262,2450,946,15,48,0.116109,0.153304,0.090335,0.658598,0.235025,-0.105306,0.619527,36,0.1285,0.230444,0.089089,0,6,9,68,362,584,2088,218,728,2229,1699.823693,1141.510668,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy
P3,G YOLO + FT PointPillars,COMBINED,1262,2450,2692,15,40,0.353871,0.410225,0.308851,0.693154,0.689413,-0.002041,0.652665,29,0.353765,0.337667,0.371475,4,10,1,181,1358,1334,1092,909,1783,1538,2795.15077,1138.078079,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy
P4,FT YOLO + FT PointPillars,COMBINED,1262,2450,2704,15,40,0.355286,0.411601,0.310233,0.692914,0.694033,-0.005306,0.652589,29,0.353329,0.336538,0.371884,4,10,1,182,1360,1344,1090,910,1794,1537,2800.098059,1154.470794,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy
