combination_id,combination_label,recording,tracker_only_fps,cached_pipeline_fps,live_ros2_end_to_end_fps,yolo_latency_mean_ms,yolo_latency_p95_ms,lidar_latency_mean_ms,lidar_latency_p95_ms,tracking_latency_mean_ms,tracking_latency_p95_ms,live_processed_outputs,live_measurement_duration_s,live_status
P2,FT YOLO + G PointPillars,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,,,15.894642,,,,,,,,,2x playback; 1/1 ok run(s)
P2,FT YOLO + G PointPillars,out_vine_1push_3carry_st_ly_11_06_2024_1_label,,,15.613799,,,,,,,,,2x playback; 1/1 ok run(s)
P2,FT YOLO + G PointPillars,out_vine_4swap+walk_st_ly_11_06_2024_2_label,,,15.164514,,,,,,,,,2x playback; 1/1 ok run(s)
P3,G YOLO + FT PointPillars,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,,,11.7794,,,,,,,,,2x playback; 1/1 ok run(s)
P3,G YOLO + FT PointPillars,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,,,9.944757,,,,,,,,,2x playback; 1/1 ok run(s)
P3,G YOLO + FT PointPillars,in_straw_3pick_diff_st_10_24_2024_5_a_label,,,8.08251,,,,,,,,,2x playback; 1/1 ok run(s)
P3,G YOLO + FT PointPillars,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,,,14.083194,,,,,,,,,2x playback; 1/1 ok run(s)
P3,G YOLO + FT PointPillars,out_vine_1push_3carry_st_ly_11_06_2024_1_label,,,15.045504,,,,,,,,,2x playback; 1/1 ok run(s)
P3,G YOLO + FT PointPillars,out_vine_4swap+walk_st_ly_11_06_2024_2_label,,,13.963727,,,,,,,,,2x playback; 1/1 ok run(s)
P4,FT YOLO + FT PointPillars,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,,,12.263666,,,,,,,,,2x playback; 1/1 ok run(s)
P4,FT YOLO + FT PointPillars,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,,,10.402238,,,,,,,,,2x playback; 1/1 ok run(s)
P4,FT YOLO + FT PointPillars,in_straw_3pick_diff_st_10_24_2024_5_a_label,,,7.747268,,,,,,,,,2x playback; 1/1 ok run(s)
P4,FT YOLO + FT PointPillars,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,,,12.719594,,,,,,,,,2x playback; 1/1 ok run(s)
P4,FT YOLO + FT PointPillars,out_vine_1push_3carry_st_ly_11_06_2024_1_label,,,15.996895,,,,,,,,,2x playback; 1/1 ok run(s)
P4,FT YOLO + FT PointPillars,out_vine_4swap+walk_st_ly_11_06_2024_2_label,,,13.729985,,,,,,,,,2x playback; 1/1 ok run(s)
